p_manufacturingID,productID,productName,productType
30,110,"HydraTech Joint",Aeronautics
9,111,"NanoMotion Mechanism","Engineering Materials"
33,112,"PrecisionFlex Coupling","Fluid Connectors"
27,113,"FluidicMotion Actuator","Engineering Materials"
30,114,"AeroTitanium Component","Motion Systems"
37,115,"FlexiTrack Coupler",Aeronautics
4,116,"HydraForce Transmitter","Fluid Connectors"
36,117,"NanoAero Wing","Engineering Materials"
30,118,"PrecisionGrip Fitting",Instrumentation
44,119,"FluidicFrame Winglet","Fluid Connectors"
20,120,"MotionFlex Actuator","Motion Systems"
47,121,"AeroCarbon Component",Aeronautics
2,122,"FlexiFlow Joint","Fluid Connectors"
26,123,"HydraForce Sensor",Aeronautics
17,124,ProductName,Instrumentation
1,125,"NanoProbe Analyzer","Engineering Materials"
48,126,"FluidicLink Adapter","Motion Systems"
14,127,"MotionMate Mechanism",Aeronautics
38,128,"AeroPolymer Alloy","Motion Systems"
5,129,"FlexiSeal Connector","Engineering Materials"
3,130,"HydraTrack System",Aeronautics
28,131,"NanoGlide Mechanism","Fluid Connectors"
23,132,"PrecisionComposite Material","Motion Systems"
45,133,"AeroMotion Actuator",Aeronautics
5,134,"NanoFlow Transmitter","Engineering Materials"
35,135,"FluidicCeramic Material","Motion Systems"
4,136,"AeroWing Component",Instrumentation
5,137,"FlexiGrip Coupling","Fluid Connectors"
31,138,"NanoSteel Alloy","Motion Systems"
3,139,"PrecisionFlow Adapter",Aeronautics
19,140,"AeroRotor Blade",Instrumentation
27,141,"FlexiFrame Fuselage","Fluid Connectors"
12,142,"HydraForce Actuator","Engineering Materials"
50,143,"NanoTech Valve","Fluid Connectors"
9,144,"FluidicAero Structure",Instrumentation
50,145,"MotionSync Transmitter","Engineering Materials"
42,146,"AeroPropulsion Engine",Instrumentation
47,147,"FlexiRotor Blade",Aeronautics
42,148,"HydraPulse Joint","Engineering Materials"
27,149,"NanoAero Winglet","Fluid Connectors"
24,150,"FluidicForce Actuator",Aeronautics
25,151,"AeroGauge Indicator","Fluid Connectors"
29,152,"FlexiSeal Fitting",Instrumentation
25,153,"HydraLink Connector","Fluid Connectors"
25,154,"NanoFlow Meter",Instrumentation
6,155,"PrecisionGrip Joint",Instrumentation
44,156,"FluidicMotion Mechanism",Instrumentation
43,157,"AeroSeal Fitting",Instrumentation
35,158,"FlexiProbe Monitor","Engineering Materials"
9,159,"HydraGrip Coupling",Aeronautics
42,160,"NanoDrive System","Fluid Connectors"
23,161,"PrecisionScope Sensor","Motion Systems"
8,162,"AeroMate Connector",Aeronautics
12,163,"FlexiForce Actuator","Fluid Connectors"
35,164,"HydraTrack Transmitter","Motion Systems"
26,165,"NanoJet Propulsion","Engineering Materials"
34,166,"FluidicFlex Joint","Fluid Connectors"
9,167,"MotionGuard Sensor","Motion Systems"
47,168,"AeroFrame Component",Instrumentation
15,169,"FlexiTech Adapter","Engineering Materials"
1,170,"HydraAero Winglet","Fluid Connectors"
49,171,"NanoMate Adapter","Motion Systems"
2,172,"PrecisionFlow Meter",Instrumentation
20,173,"FluidicLink Sensor",Instrumentation
30,174,"MotionMate System","Fluid Connectors"
44,175,"AeroComposite Material","Motion Systems"
47,176,"FlexiMotion Actuator",Aeronautics
35,177,"HydraGlide Actuator","Motion Systems"
28,178,"NanoProbe Monitor","Engineering Materials"
35,179,"FluidicCeramic Component",Instrumentation
25,180,"MotionSync Recorder","Engineering Materials"
15,181,"AeroSteel Alloy","Motion Systems"
16,182,"FlexiSeal Joint",Aeronautics
30,183,"HydraWinglet Fuselage","Fluid Connectors"
23,184,"NanoTrack Indicator","Engineering Materials"
10,185,"PrecisionGrip Coupler",Instrumentation
18,186,"FluidicFrame Structure",Instrumentation
13,187,"AeroCarbon Composite","Engineering Materials"
47,188,"FlexiMotion Joint",Aeronautics
49,189,"HydraJet Component","Motion Systems"
8,190,"NanoScope Analyzer","Engineering Materials"
3,191,"PrecisionMate Sensor",Instrumentation
43,192,"FluidicForce Mechanism",Instrumentation
27,193,"AeroTitanium Material","Engineering Materials"
40,194,"FlexiTrack Sensor",Aeronautics
50,195,"HydraPropulsion Engine","Motion Systems"
2,196,"NanoRotor Blade","Engineering Materials"
16,197,"PrecisionLink Coupling",Instrumentation
14,198,"FluidicFlow Recorder","Fluid Connectors"
5,199,"MotionFlex Connector","Engineering Materials"
7,200,"AeroCeramic Material",Aeronautics
